Metadata_broad_sample,Metadata_cell_line,Metadata_timepoint,Metadata_experiment_type,Metadata_target,Metadata_timepoint_code,Metadata_target_radix,Metadata_target_is_across,Metadata_split
ccsbBroad304_00900,A549,96,ORF,KCNN1,high,102,TRUE,train
ccsbBroad304_07795,A549,96,ORF,SLCO2B1,high,49,TRUE,train
ccsbBroad304_02826,A549,96,ORF,SLC7A11,high,28,TRUE,train
ccsbBroad304_01492,A549,96,ORF,SCNN1G,high,40,TRUE,train
ccsbBroad304_00691,A549,96,ORF,GRIN2A,high,25,TRUE,train
ccsbBroad304_00902,A549,96,ORF,KCNN4,high,43,TRUE,train
ccsbBroad304_02705,A549,96,ORF,SIRT2,high,178,TRUE,train
ccsbBroad304_01122,A549,96,ORF,OPRM1,high,176,TRUE,train
ccsbBroad304_00305,A549,96,ORF,CHRM3,high,63,TRUE,train
ccsbBroad304_06365,A549,96,ORF,HIF1A,high,154,TRUE,train
ccsbBroad304_02831,A549,96,ORF,SGK3,high,149,FALSE,train
ccsbBroad304_02201,A549,96,ORF,CLOCK,high,142,FALSE,train
ccsbBroad304_06071,A549,96,ORF,CYP2A6,high,85,TRUE,train
ccsbBroad304_05926,A549,96,ORF,CACNG1,high,118,TRUE,train
ccsbBroad304_06272,A549,96,ORF,GHSR,high,139,TRUE,train
ccsbBroad304_00202,A549,96,ORF,CACNB4,high,67,TRUE,train
ccsbBroad304_14724,A549,96,ORF,DDR2,high,116,TRUE,train
ccsbBroad304_14684,A549,96,ORF,KDR,high,76,TRUE,train
ccsbBroad304_04505,A549,96,ORF,KCNH7,high,168,TRUE,train
ccsbBroad304_01121,A549,96,ORF,OPRL1,high,16,TRUE,train
ccsbBroad304_06088,A549,96,ORF,AKR1C1,high,80,TRUE,train
ccsbBroad304_08873,A549,96,ORF,P2RY12,high,134,TRUE,train
ccsbBroad304_05921,A549,96,ORF,CA5A,high,141,TRUE,train
ccsbBroad304_00304,A549,96,ORF,CHRM2,high,10,TRUE,train
ccsbBroad304_00376,A549,96,ORF,CSK,high,113,TRUE,train
ccsbBroad304_00477,A549,96,ORF,LPAR1,high,143,TRUE,train
ccsbBroad304_02129,A549,96,ORF,S1PR2,high,23,TRUE,train
ccsbBroad304_07061,A549,96,ORF,TGM2,high,148,TRUE,train
ccsbBroad304_01768,A549,96,ORF,VEGFA,high,60,TRUE,train
ccsbBroad304_06018,A549,96,ORF,COMT,high,131,TRUE,train
ccsbBroad304_00155,A549,96,ORF,CCND1,high,129,TRUE,train
ccsbBroad304_06464,A549,96,ORF,ITGB2,high,89,TRUE,train
ccsbBroad304_02258,A549,96,ORF,ZBTB24,high,53,FALSE,train
ccsbBroad304_00681,A549,96,ORF,FFAR2,high,130,TRUE,train
ccsbBroad304_00799,A549,96,ORF,HSP90AB1,high,65,TRUE,train
ccsbBroad304_11023,A549,96,ORF,PDE4D,high,36,TRUE,train
ccsbBroad304_14688,A549,96,ORF,LCK,high,124,TRUE,train
ccsbBroad304_00277,A549,96,ORF,CDK4,high,101,TRUE,train
ccsbBroad304_14525,A549,96,ORF,ABL1,high,161,TRUE,train
ccsbBroad304_06403,A549,96,ORF,HSD11B1,high,51,TRUE,train
ccsbBroad304_14696,A549,96,ORF,MET,high,21,TRUE,train
ccsbBroad304_10688,A549,96,ORF,ATM,high,30,TRUE,train
ccsbBroad304_16175,A549,96,ORF,BRAF,high,32,TRUE,train
ccsbBroad304_00607,A549,96,ORF,GABRB2,high,174,TRUE,train
ccsbBroad304_06811,A549,96,ORF,PTGIR,high,165,TRUE,train
ccsbBroad304_06188,A549,96,ORF,F10,high,117,TRUE,train
ccsbBroad304_06353,A549,96,ORF,HBB,high,9,TRUE,train
ccsbBroad304_01289,A549,96,ORF,MAPK13,high,153,FALSE,train
ccsbBroad304_01684,A549,96,ORF,TNF,high,1,TRUE,train
ccsbBroad304_06412,A549,96,ORF,HSP90AA1,high,128,TRUE,train
ccsbBroad304_01607,A549,96,ORF,STAT1,high,136,FALSE,train
ccsbBroad304_05439,A549,96,ORF,FFAR4,high,140,TRUE,train
ccsbBroad304_00954,A549,96,ORF,LYN,high,86,TRUE,train
ccsbBroad304_00129,A549,96,ORF,ATP5F1D,high,87,TRUE,train
ccsbBroad304_06483,A549,96,ORF,KCNK1,high,78,TRUE,train
ccsbBroad304_14720,A549,96,ORF,NTRK1,high,121,TRUE,train
ccsbBroad304_01602,A549,96,ORF,SSTR2,high,81,TRUE,train
ccsbBroad304_00526,A549,96,ORF,EZH2,high,29,TRUE,train
ccsbBroad304_06085,A549,96,ORF,DCK,high,158,TRUE,train
ccsbBroad304_14741,A549,96,ORF,PDPK1,high,91,TRUE,train
ccsbBroad304_00142,A549,96,ORF,AVPR1A,high,122,TRUE,train
ccsbBroad304_00326,A549,96,ORF,CLK1,high,151,TRUE,train
ccsbBroad304_01396,A549,96,ORF,RGS4,high,114,TRUE,train
ccsbBroad304_01216,A549,96,ORF,PLD1,high,159,TRUE,train
ccsbBroad304_02218,A549,96,ORF,IKBKE,high,2,FALSE,train
ccsbBroad304_02030,A549,96,ORF,CFLAR,high,156,FALSE,train
ccsbBroad304_07557,A549,96,ORF,"NAMPT",high,147,TRUE,train
ccsbBroad304_14597,A549,96,ORF,CSF1R,high,37,TRUE,train
ccsbBroad304_09091,A549,96,ORF,SLIRP,high,71,FALSE,train
ccsbBroad304_03625,A549,96,ORF,HIF1AN,high,164,FALSE,train
ccsbBroad304_16173,A549,96,ORF,KRAS,high,11,TRUE,train
ccsbBroad304_14679,A549,96,ORF,JAK1,high,98,TRUE,train
ccsbBroad304_00494,A549,96,ORF,ELANE,high,59,TRUE,train
ccsbBroad304_06221,A549,96,ORF,FPR1,high,4,TRUE,train
ccsbBroad304_03976,A549,96,ORF,PORCN,high,125,TRUE,train
ccsbBroad304_05821,A549,96,ORF,ANXA1,high,61,TRUE,train
ccsbBroad304_05555,A549,96,ORF,CATSPER4,high,173,TRUE,train
empty,A549,96,ORF,empty,high,144,FALSE,train
ccsbBroad304_14827,A549,96,ORF,RET,high,135,TRUE,train
ccsbBroad304_02416,A549,96,ORF,TUBB4B,high,90,TRUE,train
ccsbBroad304_07194,A549,96,ORF,GLRA3,high,93,TRUE,train
ccsbBroad304_01213,A549,96,ORF,PLA2G1B,high,74,TRUE,train
ccsbBroad304_03155,A549,96,ORF,DHH,high,88,TRUE,train
ccsbBroad304_00156,A549,96,ORF,BCL2L1,high,62,FALSE,train
ccsbBroad304_01760,A549,96,ORF,USP1,high,95,TRUE,train
ccsbBroad304_14644,A549,96,ORF,FLT3,high,105,TRUE,train
ccsbBroad304_00843,A549,96,ORF,IL1B,high,112,TRUE,train
ccsbBroad304_01278,A549,96,ORF,PRKACB,high,99,FALSE,train
ccsbBroad304_05206,A549,96,ORF,TUBB,high,13,TRUE,train
ccsbBroad304_11445,A549,96,ORF,HDAC6,high,106,TRUE,train
ccsbBroad304_14631,A549,96,ORF,ERBB2,high,84,TRUE,train
ccsbBroad304_00894,A549,96,ORF,KCNJ1,high,26,TRUE,train
ccsbBroad304_03441,A549,96,ORF,UGT1A9,high,66,TRUE,train
ccsbBroad304_00555,A549,96,ORF,FGF1,high,163,TRUE,train
ccsbBroad304_00454,A549,96,ORF,DNMT3A,high,103,TRUE,train
ccsbBroad304_06343,A549,96,ORF,GUCY1B1,high,115,TRUE,train
ccsbBroad304_06588,A549,96,ORF,MMP2,high,169,TRUE,train
ccsbBroad304_14989,A549,96,ORF,CHEK2,high,109,TRUE,train
ccsbBroad304_06846,A549,96,ORF,RB1,high,41,FALSE,train
ccsbBroad304_14804,A549,96,ORF,MAPK9,high,12,FALSE,train
ccsbBroad304_06755,A549,96,ORF,PPAT,high,68,TRUE,train
ccsbBroad304_00008,A549,96,ORF,ASIC1,high,50,TRUE,train
ccsbBroad304_02128,A549,96,ORF,GPR55,high,55,TRUE,train
ccsbBroad304_11738,A549,96,ORF,BRD4,high,27,TRUE,train
ccsbBroad304_14538,A549,96,ORF,AKT1,high,146,TRUE,train
ccsbBroad304_01334,A549,96,ORF,PTGIS,high,58,TRUE,train
ccsbBroad304_01398,A549,96,ORF,RHEB,high,64,FALSE,train
ccsbBroad304_00396,A549,96,ORF,CTSG,high,137,TRUE,train
ccsbBroad304_01161,A549,96,ORF,PDE7A,high,24,TRUE,train
ccsbBroad304_00407,A549,96,ORF,CYP1A2,high,15,TRUE,train
