Assay_Plate_Barcode,Plate_Map_Name
BR00117006,JUMP-Target-1_orf_platemap
BR00118049,JUMP-Target-1_orf_platemap
BR00118050,JUMP-Target-1_orf_platemap
BR00118039,JUMP-Target-1_orf_platemap
BR00118040,JUMP-Target-1_orf_platemap
BR00117020,JUMP-Target-1_orf_platemap
BR00117021,JUMP-Target-1_orf_platemap
BR00117022,JUMP-Target-1_orf_platemap
BR00117023,JUMP-Target-1_orf_platemap
BR00118041,JUMP-Target-1_crispr_platemap
BR00118042,JUMP-Target-1_crispr_platemap
BR00118043,JUMP-Target-1_crispr_platemap
BR00118044,JUMP-Target-1_crispr_platemap
BR00118045,JUMP-Target-1_crispr_platemap
BR00118046,JUMP-Target-1_crispr_platemap
BR00118047,JUMP-Target-1_crispr_platemap
BR00118048,JUMP-Target-1_crispr_platemap
BR00117003,JUMP-Target-1_crispr_platemap
BR00117004,JUMP-Target-1_crispr_platemap
BR00117005,JUMP-Target-1_crispr_platemap
BR00117000,JUMP-Target-1_crispr_platemap
BR00117002,JUMP-Target-1_crispr_platemap
BR00117001,JUMP-Target-1_crispr_platemap
BR00116997,JUMP-Target-1_crispr_platemap
BR00116998,JUMP-Target-1_crispr_platemap
BR00116999,JUMP-Target-1_crispr_platemap
BR00116996,JUMP-Target-1_crispr_platemap
BR00116991,JUMP-Target-1_compound_platemap
BR00116992,JUMP-Target-1_compound_platemap
BR00116993,JUMP-Target-1_compound_platemap
BR00116994,JUMP-Target-1_compound_platemap
BR00116995,JUMP-Target-1_compound_platemap
BR00117024,JUMP-Target-1_compound_platemap
BR00117025,JUMP-Target-1_compound_platemap
BR00117026,JUMP-Target-1_compound_platemap
BR00117017,JUMP-Target-1_compound_platemap
BR00117019,JUMP-Target-1_compound_platemap
BR00117015,JUMP-Target-1_compound_platemap
BR00117016,JUMP-Target-1_compound_platemap
BR00117012,JUMP-Target-1_compound_platemap
BR00117013,JUMP-Target-1_compound_platemap
BR00117010,JUMP-Target-1_compound_platemap
BR00117011,JUMP-Target-1_compound_platemap
BR00117054,JUMP-Target-1_compound_platemap
BR00117055,JUMP-Target-1_compound_platemap
BR00117008,JUMP-Target-1_compound_platemap
BR00117009,JUMP-Target-1_compound_platemap
BR00117052,JUMP-Target-1_compound_platemap
BR00117053,JUMP-Target-1_compound_platemap
BR00117050,JUMP-Target-1_compound_platemap
BR00117051,JUMP-Target-1_compound_platemap
