well_position	broad_sample
A01	BRDN0001480888
A02	BRDN0001483495
A03	BRDN0001147364
A04	BRDN0001490272
A05	BRDN0001480510
A06	BRDN0001487636
A07	BRDN0001484752
A08	BRDN0001485022
A09	BRDN0001488469
A10	BRDN0001479055
A11	BRDN0001488387
A12	BRDN0001487915
A13	BRDN0001147100
A14	BRDN0001477683
A15	BRDN0001488235
A16	BRDN0001483003
A17	BRDN0001489066
A18	BRDN0001487864
A19	BRDN0001480412
A20	BRDN0001148417
A21	BRDN0001489686
A22	BRDN0001481331
A23	BRDN0001481599
A24	BRDN0001487543
B01	BRDN0001487247
B02	BRDN0001490654
B03	BRDN0001147906
B04	BRDN0001484748
B05	BRDN0000987760
B06	BRDN0001485957
B07	BRDN0001482877
B08	BRDN0000735610
B09	BRDN0001487881
B10	BRDN0001489575
B11	BRDN0001144968
B12	BRDN0001488751
B13	BRDN0001485957
B14	BRDN0000579732
B15	BRDN0001493988
B16	BRDN0001483194
B17	BRDN0001484703
B18	BRDN0001483238
B19	BRDN0001485605
B20	BRDN0001479972
B21	BRDN0001480921
B22	BRDN0001061130
B23	BRDN0001066064
B24	BRDN0001485421
C01	BRDN0001147538
C02	BRDN0001487345
C03	BRDN0001488886
C04	BRDN0001479766
C05	BRDN0001057455
C06	BRDN0001484506
C07	BRDN0001479298
C08	BRDN0001146959
C09	BRDN0001480465
C10	BRDN0001487280
C11	BRDN0000579780
C12	BRDN0001148995
C13	BRDN0001054845
C14	BRDN0001482005
C15	BRDN0000580246
C16	BRDN0001147797
C17	BRDN0001480346
C18	BRDN0001480930
C19	BRDN0001489794
C20	BRDN0000734502
C21	BRDN0001483314
C22	BRDN0001480242
C23	BRDN0001487618
C24	BRDN0001065457
D01	BRDN0001485843
D02	BRDN0001483052
D03	BRDN0001489555
D04	BRDN0001482043
D05	BRDN0001485604
D06	BRDN0001485726
D07	BRDN0001065508
D08	BRDN0001484319
D09	BRDN0001480594
D10	BRDN0001486784
D11	BRDN0001477909
D12	BRDN0001144750
D13	BRDN0001065244
D14	BRDN0001480861
D15	BRDN0001146060
D16	BRDN0001477792
D17	BRDN0001058343
D18	BRDN0001484730
D19	BRDN0001488073
D20	BRDN0001481569
D21	BRDN0001054815
D22	BRDN0001480426
D23	BRDN0001489066
D24	BRDN0001149473
E01	
E02	BRDN0001147649
E03	BRDN0001483817
E04	BRDN0001483355
E05	BRDN0001065000
E06	BRDN0000564018
E07	BRDN0001485794
E08	BRDN0001489262
E09	BRDN0001144750
E10	BRDN0001146436
E11	BRDN0001484045
E12	BRDN0001162216
E13	BRDN0001490325
E14	BRDN0001484642
E15	BRDN0001480293
E16	BRDN0001145239
E17	BRDN0001477793
E18	BRDN0001477793
E19	BRDN0001065819
E20	BRDN0000734703
E21	BRDN0001486172
E22	BRDN0001065162
E23	BRDN0001481237
E24	BRDN0001480267
F01	BRDN0001147100
F02	BRDN0001477683
F03	BRDN0001485538
F04	BRDN0001065841
F05	BRDN0001481027
