well_position	broad_sample
A01	ccsbBroad304_00900
A02	ccsbBroad304_07795
A03	ccsbBroad304_02826
A04	ccsbBroad304_01492
A05	ccsbBroad304_00691
A06	ccsbBroad304_00902
A07	ccsbBroad304_02705
A08	ccsbBroad304_01122
A09	ccsbBroad304_01122
A10	ccsbBroad304_00305
A11	ccsbBroad304_00305
A12	ccsbBroad304_06365
A13	ccsbBroad304_02831
A14	ccsbBroad304_02201
A15	ccsbBroad304_06071
A16	ccsbBroad304_05926
A17	ccsbBroad304_06272
A18	ccsbBroad304_00202
A19	ccsbBroad304_14724
A20	ccsbBroad304_06071
A21	ccsbBroad304_14684
A22	ccsbBroad304_04505
A23	ccsbBroad304_01121
A24	ccsbBroad304_06088
B01	ccsbBroad304_08873
B02	ccsbBroad304_05921
B03	ccsbBroad304_00304
B04	ccsbBroad304_00376
B05	ccsbBroad304_00477
B06	ccsbBroad304_02129
B07	ccsbBroad304_07061
B08	ccsbBroad304_00304
B09	ccsbBroad304_01768
B10	ccsbBroad304_06018
B11	ccsbBroad304_00155
B12	ccsbBroad304_06464
B13	ccsbBroad304_02831
B14	ccsbBroad304_02258
B15	ccsbBroad304_00681
B16	ccsbBroad304_00799
B17	ccsbBroad304_11023
B18	ccsbBroad304_14688
B19	ccsbBroad304_02129
B20	ccsbBroad304_00477
B21	ccsbBroad304_00277
B22	ccsbBroad304_11023
B23	ccsbBroad304_05921
B24	ccsbBroad304_08873
C01	ccsbBroad304_14525
C02	ccsbBroad304_06403
C03	ccsbBroad304_14696
C04	ccsbBroad304_10688
C05	ccsbBroad304_16175
C06	ccsbBroad304_00607
C07	ccsbBroad304_06811
C08	ccsbBroad304_14696
C09	ccsbBroad304_06188
C10	ccsbBroad304_06353
C11	ccsbBroad304_01289
C12	ccsbBroad304_01289
C13	ccsbBroad304_01684
C14	ccsbBroad304_06412
C15	ccsbBroad304_01607
C16	ccsbBroad304_01607
C17	ccsbBroad304_05439
C18	ccsbBroad304_01684
C19	ccsbBroad304_00607
C20	ccsbBroad304_00954
C21	ccsbBroad304_00129
C22	ccsbBroad304_06483
C23	ccsbBroad304_06365
C24	ccsbBroad304_06272
D01	ccsbBroad304_14720
D02	ccsbBroad304_01602
D03	ccsbBroad304_00526
D04	ccsbBroad304_00526
D05	ccsbBroad304_06085
D06	ccsbBroad304_14741
D07	ccsbBroad304_00142
D08	ccsbBroad304_00326
D09	ccsbBroad304_01396
D10	ccsbBroad304_01216
D11	ccsbBroad304_02218
D12	ccsbBroad304_02030
D13	ccsbBroad304_07557
D14	ccsbBroad304_14597
D15	ccsbBroad304_09091
D16	ccsbBroad304_03625
D17	ccsbBroad304_16173
D18	ccsbBroad304_14679
D19	ccsbBroad304_00494
D20	ccsbBroad304_01396
D21	ccsbBroad304_06221
D22	ccsbBroad304_03976
D23	ccsbBroad304_05821
D24	ccsbBroad304_05555
E01	
E02	ccsbBroad304_03625
E03	ccsbBroad304_14827
E04	ccsbBroad304_02416
E05	ccsbBroad304_07194
E06	ccsbBroad304_01213
E07	ccsbBroad304_02416
E08	ccsbBroad304_03155
E09	ccsbBroad304_02201
E10	ccsbBroad304_00156
E11	ccsbBroad304_10688
E12	ccsbBroad304_01760
E13	ccsbBroad304_06412
E14	ccsbBroad304_14644
E15	ccsbBroad304_00843
E16	ccsbBroad304_06811
E17	ccsbBroad304_01278
E18	ccsbBroad304_02218
E19	ccsbBroad304_05206
E20	ccsbBroad304_11445
E21	ccsbBroad304_14631
E22	ccsbBroad304_00894
E23	ccsbBroad304_05926
E24	ccsbBroad304_03441
F01	ccsbBroad304_01607
F02	ccsbBroad304_00156
F03	ccsbBroad304_00555
F04	ccsbBroad304_00454
