Assay_Plate_Barcode,Plate_Map_Name
BR00116991A,JUMP-Target-1_compound_platemap
BR00116991B,JUMP-Target-1_compound_platemap
BR00116991C,JUMP-Target-1_compound_platemap
BR00116991D,JUMP-Target-1_compound_platemap
BR00116991E,JUMP-Target-1_compound_platemap
BR00116991F,JUMP-Target-1_compound_platemap
BR00116992A,JUMP-Target-1_compound_platemap
BR00116992B,JUMP-Target-1_compound_platemap
BR00116992C,JUMP-Target-1_compound_platemap
BR00116992D,JUMP-Target-1_compound_platemap
BR00116992E,JUMP-Target-1_compound_platemap
BR00116992F,JUMP-Target-1_compound_platemap
BR00116993A,JUMP-Target-1_compound_platemap
BR00116993B,JUMP-Target-1_compound_platemap
BR00116993C,JUMP-Target-1_compound_platemap
BR00116993D,JUMP-Target-1_compound_platemap
BR00116993E,JUMP-Target-1_compound_platemap
BR00116993F,JUMP-Target-1_compound_platemap
BR00116994A,JUMP-Target-1_compound_platemap
BR00116994B,JUMP-Target-1_compound_platemap
BR00116994C,JUMP-Target-1_compound_platemap
BR00116994D,JUMP-Target-1_compound_platemap
BR00116994E,JUMP-Target-1_compound_platemap
BR00116994F,JUMP-Target-1_compound_platemap
