well_position	broad_sample	solvent
A01	BRD-A86665761-001-01-1	DMSO
A02		DMSO
A03	BRD-A22032524-074-09-9	DMSO
A04	BRD-A01078468-001-14-8	DMSO
A05	BRD-K48278478-001-01-2	DMSO
A06	BRD-K36574127-001-01-3	DMSO
A07	BRD-K74913225-001-14-0	DMSO
A08	BRD-K94342292-001-01-3	DMSO
A09		DMSO
A10	BRD-K19975102-001-01-2	DMSO
A11	BRD-K25244359-066-02-6	DMSO
A12	BRD-K18131774-001-18-4	DMSO
A13	BRD-A85242401-001-11-5	DMSO
A14	BRD-K06426971-001-02-7	DMSO
A15	BRD-K47049295-300-03-1	DMSO
A16	BRD-K78122587-300-04-3	DMSO
A17		DMSO
A18	BRD-K50199947-001-03-4	DMSO
A19	BRD-K50720187-051-03-1	DMSO
A20	BRD-K91825936-001-03-9	DMSO
A21	BRD-K38775274-001-22-1	DMSO
A22	BRD-K47598052-001-14-1	DMSO
A23	BRD-K61845293-300-01-9	DMSO
A24	BRD-K87782578-001-01-4	DMSO
B01	BRD-K26439554-001-01-3	DMSO
B02	BRD-K58049875-001-03-9	DMSO
B03		DMSO
B04	BRD-K72726508-001-02-1	DMSO
B05	BRD-K29151923-001-01-5	DMSO
B06	BRD-K66788707-001-14-3	DMSO
B07	BRD-K06890060-001-09-1	DMSO
B08	BRD-K50398167-236-22-7	DMSO
B09	BRD-K87632963-001-03-0	DMSO
B10	BRD-K37602296-001-01-6	DMSO
B11	BRD-K09143580-001-01-0	DMSO
B12	BRD-A22713669-001-04-3	DMSO
B13	BRD-K16472653-001-01-6	DMSO
B14		DMSO
B15	BRD-K34581968-001-05-3	DMSO
B16	BRD-K81801188-001-02-8	DMSO
B17	BRD-K73276278-305-01-1	DMSO
B18	BRD-K53061490-003-13-9	DMSO
B19	BRD-A43005764-003-01-5	DMSO
B20	BRD-K60659193-001-01-0	DMSO
B21	BRD-K09787262-001-02-7	DMSO
B22	BRD-K56810756-003-07-7	DMSO
B23	BRD-K87158025-003-08-7	DMSO
